Author,Title,Tags
"Abenza y Rodríguez, Aureliano",Los caminos para el éxito,Ensayo|Autoayuda
"About, Edmond",La nariz de un notario,Literatura Universal
"Acosta, José de",Historia Natural y moral de las Indias,Historia y Novela histórica
"Acosta, Soledad",La mujer en la sociedad moderna,Historia y Novela histórica|Ensayo|Autoayuda
"Acuña, Manuel","Selección de poemas (Acuña, Manuel)",Literatura Hispanoamericana
"Adler, María Raquel",Místicas,Literatura Hispanoamericana
Aeschylus,The persians,Literatura Universal
Aeschylus,Prometheus bound,Literatura Universal
"Aguinaldo, Emilio",Reseña verídica de la Revolución Filipina,Literatura Universal
...>
